epoch,train_loss,train_acc,val_loss,val_acc
0,0.5220,0.7208,0.3645,0.7779
1,0.2417,0.8559,0.1568,0.9111
2,0.1359,0.9249,0.1183,0.9343
3,0.1097,0.9381,0.0983,0.9455
4,0.0965,0.9443,0.0879,0.9497
5,0.0892,0.9472,0.0817,0.9512
6,0.0844,0.9486,0.0790,0.9522
7,0.0793,0.9513,0.0729,0.9551
8,0.0746,0.9540,0.0693,0.9575
9,0.0713,0.9555,0.0746,0.9555
10,0.0687,0.9567,0.0708,0.9576
11,0.0664,0.9582,0.0664,0.9590
12,0.0638,0.9597,0.0640,0.9589
13,0.0606,0.9617,0.0622,0.9622
14,0.0592,0.9622,0.0573,0.9639
15,0.0581,0.9626,0.0561,0.9654
16,0.0569,0.9635,0.0605,0.9624
17,0.0548,0.9647,0.0622,0.9597
18,0.0531,0.9656,0.0516,0.9669
19,0.0513,0.9668,0.0526,0.9668
20,0.0511,0.9668,0.0521,0.9673
21,0.0495,0.9676,0.0489,0.9684
22,0.0481,0.9686,0.0500,0.9684
23,0.0462,0.9696,0.0468,0.9693
24,0.0457,0.9695,0.0478,0.9690
25,0.0451,0.9699,0.0483,0.9690
26,0.0442,0.9701,0.0487,0.9681
27,0.0432,0.9709,0.0449,0.9703
28,0.0441,0.9704,0.0449,0.9712
29,0.0414,0.9719,0.0431,0.9716
