epoch,train_loss,train_acc,val_loss,val_acc
0,0.2843,0.8196,0.1649,0.8723
1,0.1402,0.9014,0.0741,0.9358
2,0.1161,0.9186,0.2597,0.8199
3,0.2425,0.8507,0.1981,0.8622
4,0.1389,0.8995,0.0809,0.9338
5,0.0904,0.9349,0.0992,0.9244
6,0.0869,0.9364,0.0439,0.9672
7,0.0424,0.9671,0.0344,0.9739
8,0.0322,0.9749,0.0260,0.9802
9,0.0275,0.9783,0.0262,0.9784
10,0.0261,0.9792,0.0272,0.9765
11,0.0381,0.9699,0.0366,0.9731
12,0.0293,0.9768,0.0209,0.9836
13,0.0232,0.9808,0.0202,0.9833
14,0.0213,0.9821,0.0192,0.9851
15,0.0177,0.9849,0.0174,0.9847
16,0.0171,0.9850,0.0157,0.9873
17,0.0173,0.9847,0.0179,0.9858
18,0.0164,0.9860,0.0168,0.9851
19,0.0147,0.9871,0.0124,0.9895
20,0.0169,0.9853,0.0137,0.9878
21,0.0162,0.9861,0.0118,0.9893
22,0.0136,0.9879,0.0137,0.9881
23,0.0130,0.9885,0.0126,0.9892
24,0.0110,0.9903,0.0097,0.9918
25,0.0108,0.9903,0.0099,0.9913
26,0.0105,0.9906,0.0118,0.9898
27,0.0101,0.9910,0.0097,0.9917
28,0.0108,0.9903,0.0101,0.9911
29,0.0113,0.9901,0.0126,0.9897
